date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:58	4979/4979	---MCZ	200	added ('OK')	text/css	date:Sun,%2029%20Jun%202025%2013:05:16%20GMT	https://jmvtechnologies.com.br/cdn/shop/t/6/assets/component-predictive-search.css?v=118923337488134913561732971744	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shop/t/6/assets/component-predictive-searchcbd5.css	(from https://jmvtechnologies.com.br/)
11:26:59	76420/76420	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:97bd2b440d5ae15beac64ab30abc01fd%22	https://jmvtechnologies.com.br/window.location	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/window.location	(from https://jmvtechnologies.com.br/)
11:26:59	16545/16545	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2023%20Jun%202025%2003:06:26%20GMT	https://cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-helper.js	C:/GIT/JMV%20Tech/jmv-landing/cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-helper.js	(from https://jmvtechnologies.com.br/)
11:26:59	23305/23305	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2023%20Jun%202025%2003:06:26%20GMT	https://cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-general-helper.js	C:/GIT/JMV%20Tech/jmv-landing/cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-general-helper.js	(from https://jmvtechnologies.com.br/)
11:26:59	24267/24267	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2023%20Jun%202025%2003:06:26%20GMT	https://cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-snap-slider.js	C:/GIT/JMV%20Tech/jmv-landing/cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-snap-slider.js	(from https://jmvtechnologies.com.br/)
11:27:00	9334/9334	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2023%20Jun%202025%2003:06:26%20GMT	https://cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-slideshow-v3.js	C:/GIT/JMV%20Tech/jmv-landing/cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-slideshow-v3.js	(from https://jmvtechnologies.com.br/)
11:27:00	9228/9228	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2023%20Jun%202025%2003:06:25%20GMT	https://cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-slideshow-v4.js	C:/GIT/JMV%20Tech/jmv-landing/cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-slideshow-v4.js	(from https://jmvtechnologies.com.br/)
11:27:00	8096/8096	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2023%20Jun%202025%2003:06:26%20GMT	https://cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-glider.js	C:/GIT/JMV%20Tech/jmv-landing/cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-glider.js	(from https://jmvtechnologies.com.br/)
11:27:00	4808/4808	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2023%20Jun%202025%2003:06:26%20GMT	https://cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-slideshow-v1-v2.js	C:/GIT/JMV%20Tech/jmv-landing/cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-slideshow-v1-v2.js	(from https://jmvtechnologies.com.br/)
11:27:01	40068/40068	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2023%20Jun%202025%2003:06:26%20GMT	https://cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-product-media.js	C:/GIT/JMV%20Tech/jmv-landing/cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-product-media.js	(from https://jmvtechnologies.com.br/)
11:27:01	68460/68460	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2023%20Jun%202025%2003:06:26%20GMT	https://cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-product.js	C:/GIT/JMV%20Tech/jmv-landing/cdn.shopify.com/extensions/8c724db1-63b3-43d1-833b-f1fc4a64ec69/pagefly-page-builder-165/assets/pagefly-product.js	(from https://jmvtechnologies.com.br/)
11:27:01	30792/30792	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2009%20Jun%202025%2004:09:09%20GMT	https://cdn.shopify.com/extensions/c298cb71-98a0-486c-bbaa-aec0cfa2211a/ck-whatsapp-chat-abandoned-9/assets/carthike.js	C:/GIT/JMV%20Tech/jmv-landing/cdn.shopify.com/extensions/c298cb71-98a0-486c-bbaa-aec0cfa2211a/ck-whatsapp-chat-abandoned-9/assets/carthike.js	(from https://jmvtechnologies.com.br/)
11:27:01	71419/71419	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2025%20Jun%202025%2015:10:06%20GMT	https://cdn.shopify.com/extensions/46c3bb00-ec51-4416-ab84-088ae69a80f9/instant-section-page-builder-34/assets/instant-core.min.js	C:/GIT/JMV%20Tech/jmv-landing/cdn.shopify.com/extensions/46c3bb00-ec51-4416-ab84-088ae69a80f9/instant-section-page-builder-34/assets/instant-core.min.js	(from https://jmvtechnologies.com.br/)
11:27:02	76420/76420	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:cef03f649eef403d9bf56bdcf1429ff4%22	https://jmvtechnologies.com.br/POST	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/POST	(from https://jmvtechnologies.com.br/)
11:27:03	19485/19485	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:W/%22cacheable:cef03f649eef403d9bf56bdcf1429ff4%22	https://jmvtechnologies.com.br/cdn	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn	(from https://jmvtechnologies.com.br/)
11:27:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jun%202025%2014:27:02%20GMT	http://jmvtechnologies.com.br/cdn/s/trekkie.storefront.7f48c99429cb25be36839f7a7bcca2ac8a69827d.min.js	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/s/trekkie.storefront.7f48c99429cb25be36839f7a7bcca2ac8a69827d.min.36.delayed	(from https://jmvtechnologies.com.br/)
11:27:03	82734/82734	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2023%20Jun%202025%2019:06:53%20GMT	https://jmvtechnologies.com.br/cdn/s/trekkie.storefront.7f48c99429cb25be36839f7a7bcca2ac8a69827d.min.js	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/s/trekkie.storefront.7f48c99429cb25be36839f7a7bcca2ac8a69827d.min.js	(from https://jmvtechnologies.com.br/)
11:27:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Jun%202025%2014:27:03%20GMT	http://jmvtechnologies.com.br/cdn/shopifycloud/shopify/assets/shop_events_listener-b966a47fd0e23f25d41cf929bd8a50c9cc5344fafec4804f00937f2860a10097.js	C:/GIT/JMV%20Tech/jmv-landing/jmvtechnologies.com.br/cdn/shopifycloud/shopify/assets/shop_events_listener-b966a47fd0e23f25d41cf929bd8a50c9cc5344fafec4804f00937f2860a10097.js	(from https://jmvtechnologies.com.br/)
